Appl No,Product,Party,Prod No,Patent No,Patent Expiration,Drug Substance Claim,Drug Product Claim,Patent Use Code,Patent Use Description,Delist Requested
20475,TRETINOIN,VALEANT INTL,1,5955109,2016-09-21,"",Y,U-134,TREATMENT OF ACNE VULGARIS,""
20475,TRETINOIN,VALEANT INTL,2,5955109,2016-09-21,"","",U-134,TREATMENT OF ACNE VULGARIS,""
20500,ATOVAQUONE,GLAXOSMITHKLINE LLC,1,6649659,2016-07-10,Y,Y,U-69,TREATMENT OF PNEUMOCYSTIS CARINII INFECTIONS,""
20519,CICLOPIROX,CNTY LINE PHARMS,1,7026337,2016-11-21,"","",U-714,"TOPICAL TREATMENT OF INTERDIGITAL TINEA PEDIS AND TINEA CORPORIS DUE TO TRICHOPHYTON RUBRUM, TRICHOPHYTON MENTAGROPHYTES OR EPIDERMOPHYTON FLOCCOSUM",""
20552,VERAPAMIL HYDROCHLORIDE,GD SEARLE LLC,1,6096339,2017-04-04,"","",U-365,"METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN OUR EXTENDED, CONTROLLED RELEASE FO",""
20552,VERAPAMIL HYDROCHLORIDE,GD SEARLE LLC,2,6096339,2017-04-04,"","",U-365,"METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN OUR EXTENDED, CONTROLLED RELEASE FO",""
20571,IRINOTECAN HYDROCHLORIDE,PFIZER INC,1,6403569,2020-04-28,"","",U-449,USE IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLORECTAL CANCER WHERE THE DOSE OF LEUCOVORIN IS AT LEAST 200MG,""
20571,IRINOTECAN HYDROCHLORIDE,PFIZER INC,1,6794370,2020-05-01,"","",U-606,USE OF IRINOTECAN IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLRECTAL CANCER,""
20571,IRINOTECAN HYDROCHLORIDE,PFIZER INC,2,6403569,2020-04-28,"","",U-449,USE IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLORECTAL CANCER WHERE THE DOSE OF LEUCOVORIN IS AT LEAST 200MG,""
20571,IRINOTECAN HYDROCHLORIDE,PFIZER INC,2,6794370,2020-05-01,"","",U-606,USE OF IRINOTECAN IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLRECTAL CANCER,""
20592,OLANZAPINE,LILLY,1,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
20592,OLANZAPINE,LILLY,2,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
20592,OLANZAPINE,LILLY,3,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
20592,OLANZAPINE,LILLY,4,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
20592,OLANZAPINE,LILLY,5,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
20592,OLANZAPINE,LILLY,6,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
20610,BALSALAZIDE DISODIUM,VALEANT PHARMS INTL,1,7452872,2026-08-24,"","",U-141,TREATMENT OF ULCERATIVE COLITIS,""
20610,BALSALAZIDE DISODIUM,VALEANT PHARMS INTL,1,7625884,2026-08-24,"","",U-141,TREATMENT OF ULCERATIVE COLITIS,""
20625,FEXOFENADINE HYDROCHLORIDE,SANOFI AVENTIS US,1,6037353,2017-03-14,"","",U-138,TREATMENT OF ALLERGIC RHINITIS,""
20629,PENCICLOVIR,MYLAN PHARMS INC,1,6469015,2019-10-22,"","",U-501,TREATMENT OF RECURRENT HERPES LABIALIS (COLD SORES) IN ADULTS,""
20629,PENCICLOVIR,MYLAN PHARMS INC,1,6579981,2020-06-17,"","",U-501,TREATMENT OF RECURRENT HERPES LABIALIS (COLD SORES) IN ADULTS,""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,1,6001861,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,1,6194445,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,2,6001861,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,2,6194445,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,3,6001861,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,3,6194445,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,5,6001861,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,5,6194445,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,6,6001861,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,6,6194445,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,7,6001861,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20667,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM,7,6194445,2018-01-16,"","",U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS),""
20685,INDINAVIR SULFATE,MERCK SHARP DOHME,1,6689761,2021-02-10,"","",U-554,TREATING HIV INFECTION WITH INDINAVIR SULFATE IN COMBINATION WITH ANTIRETROVIRAL AGENTS,""
20685,INDINAVIR SULFATE,MERCK SHARP DOHME,3,6689761,2021-02-10,"","",U-554,TREATING HIV INFECTION WITH INDINAVIR SULFATE IN COMBINATION WITH ANTIRETROVIRAL AGENTS,""
20685,INDINAVIR SULFATE,MERCK SHARP DOHME,5,6689761,2021-02-10,"","",U-554,TREATING HIV INFECTION WITH INDINAVIR SULFATE IN COMBINATION WITH ANTIRETROVIRAL AGENTS,""
20685,INDINAVIR SULFATE,MERCK SHARP DOHME,6,6689761,2021-02-10,"","",U-554,TREATING HIV INFECTION WITH INDINAVIR SULFATE IN COMBINATION WITH ANTIRETROVIRAL AGENTS,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,1,6403120,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,1,6403120,2017-03-20,"","",U-451,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,1,6419958,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,1,6419958,2017-03-20,"","",U-459,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,2,6403120,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,2,6403120,2017-03-20,"","",U-451,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,2,6419958,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,2,6419958,2017-03-20,"","",U-459,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,3,6403120,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,3,6403120,2017-03-20,"","",U-451,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,3,6419958,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,3,6419958,2017-03-20,"","",U-459,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,4,6403120,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,4,6403120,2017-03-20,"","",U-451,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,4,6419958,2017-03-20,"","",U-535,TREATMENT OF SOCIAL ANXIETY DISORDER,""
20699,VENLAFAXINE HYDROCHLORIDE,WYETH PHARMS INC,4,6419958,2017-03-20,"","",U-459,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,""
20710,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,1,6121291,2017-03-17,"","",U-431,POSTTRAUMATIC STRESS DISORDER,""
20710,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,1,6121291,2017-03-17,"","",U-286,DEPRESSION,""
20719,TROGLITAZONE,SANKYO,1,5859037,2017-11-13,"","",U-251,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS IN THE TREATMENT OF TYPE II DIABETES,""
20719,TROGLITAZONE,SANKYO,1,6011049,2017-11-13,"","",U-301,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS AND BIGUANIDES IN THE TREATMENT OF TYPE II DIABETES,""
20719,TROGLITAZONE,SANKYO,2,5859037,2017-11-13,"","",U-251,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS IN THE TREATMENT OF TYPE II DIABETES,""
20719,TROGLITAZONE,SANKYO,2,6011049,2017-11-13,"","",U-301,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS AND BIGUANIDES IN THE TREATMENT OF TYPE II DIABETES,""
20719,TROGLITAZONE,SANKYO,3,5859037,2017-11-13,"","",U-251,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS IN THE TREATMENT OF TYPE II DIABETES,""
20719,TROGLITAZONE,SANKYO,3,6011049,2017-11-13,"","",U-301,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS AND BIGUANIDES IN THE TREATMENT OF TYPE II DIABETES,""
20723,IMIQUIMOD,MEDICIS,1,7696159,2024-04-01,Y,"",U-1048,WORKS THROUGH THE INDUCTION OF INTERFERON AND OTHER CYTOKINES,""
20723,IMIQUIMOD,MEDICIS,1,7696159,2024-04-01,Y,"",U-1047,"TREATMENT OF BIOPSY-CONFIRMED, PRIMARY SUPERFICIAL BASAL CELL CARCINOMA (SBCC)",""
20727,HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE,ARBOR PHARMS LLC,1,6465463,2020-09-08,"","",U-71,METHOD OF TREATMENT OF HEART FAILURE,""
20727,HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE,ARBOR PHARMS LLC,1,6784177,2020-09-08,"","",U-71,METHOD OF TREATMENT OF HEART FAILURE,""
20746,BUDESONIDE,ASTRAZENECA PHARMS,1,6686346,2017-04-29,"",Y,U-557,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,Y
20746,BUDESONIDE,ASTRAZENECA PHARMS,1,6986904,2017-04-29,"",Y,U-699,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,Y
20746,BUDESONIDE,ASTRAZENECA PHARMS,2,6686346,2017-04-29,"",Y,U-557,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,""
20746,BUDESONIDE,ASTRAZENECA PHARMS,2,6986904,2017-04-29,"",Y,U-699,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,""
20785,THALIDOMIDE,CELGENE,1,6045501,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6045501,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6315720,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6315720,2020-10-23,"","",U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUS",""
20785,THALIDOMIDE,CELGENE,1,6561976,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6561976,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6561977,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6561977,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6755784,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6755784,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6908432,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6908432,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,7435745,2017-11-03,"","",U-899,USE OF THALIDOMIDE IN COMBINATION WITH DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-1109,TREATMENT OF CUTANEOUS MANIFESTATIONS OF ERYTHEMA NODOSUM LEPROSUM (ENL) IN CONNECTION WITH A SPECIAL PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALI,""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUS",""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,7959566,2020-10-23,"","",U-1155,USE OF THALIDOMIDE IN TREATMENT OF CUTANEOUS MANIFESTATIONS OF ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,8204763,2018-08-28,"","",U-1249,TREATMENT OF MALE PATIENT HAVING A DISEASE OR CONDITION RESPONSIVE TO A TERATOGENIC DRUG,""
20785,THALIDOMIDE,CELGENE,1,8315886,2020-10-23,"","",U-1249,TREATMENT OF MALE PATIENT HAVING A DISEASE OR CONDITION RESPONSIVE TO A TERATOGENIC DRUG,""
20785,THALIDOMIDE,CELGENE,2,6045501,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
