Appl No,Product,Party,Prod No,Patent No,Patent Expiration,Drug Substance Claim,Drug Product Claim,Patent Use Code,Patent Use Description,Delist Requested
20785,THALIDOMIDE,CELGENE,2,6045501,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6315720,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6315720,2020-10-23,"","",U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUS",""
20785,THALIDOMIDE,CELGENE,2,6561976,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6561976,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6561977,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6561977,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6755784,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6755784,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6869399,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6869399,2020-10-23,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,2,6869399,2020-10-23,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
13217,METAXALONE,KING PHARMS,3,7122566,2026-02-06,"","",U-915,TREATMENT OF MUSCULOSKELETAL CONDITIONS,""
13217,METAXALONE,KING PHARMS,3,7714006,2021-12-03,"","",U-1050,USE OF METAXALONE FOR TREATMENT OF MUSCULSKELETAL CONDITIONS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,5872147,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,6090799,2017-07-18,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,6576659,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,6828313,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,5872147,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,6090799,2017-07-18,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,6576659,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,6828313,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
18613,MALATHION,TARO PHARMS NORTH,1,7560445,2027-02-01,Y,Y,U-986,TREATMENT OF PATIENTS INFECTED WITH PEDICULUS HUMANUS CAPITIS (HEAD LICE AND THEIR OVA) OF THE SCALP HAIR,""
18705,NITROGLYCERIN,POHL BOSKAMP,2,7872049,2028-03-14,"",Y,U-39,ANGINA PECTORIS,""
18708,QUAZEPAM,CUTIS HEALTH LLC,1,7608616,2028-06-03,"","",U-1012,METHOD FOR TREATING INSOMNIA WHILE REDUCING THE RISK OF AN ADVERSE DRUG INTERACTION,""
18708,QUAZEPAM,CUTIS HEALTH LLC,3,7608616,2028-06-03,"","",U-1012,METHOD FOR TREATING INSOMNIA WHILE REDUCING THE RISK OF AN ADVERSE DRUG INTERACTION,""
18859,RIBAVIRIN,VALEANT PHARM INTL,1,6150337,2017-11-21,"","",U-400,"USE OF RIBAVIRIN TO INCREASE TYPE 1 CYTOKINE RESPONSE AND SUPPRESS TYPE 2 CYTOKINE RESP0NSE TO LYMPHOCYTES, INCLUDING METHODS THAT TAKE ADVANTAGE OF S",""
18936,FLUOXETINE HYDROCHLORIDE,ELI LILLY AND CO,1,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
18936,FLUOXETINE HYDROCHLORIDE,ELI LILLY AND CO,3,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
18936,FLUOXETINE HYDROCHLORIDE,ELI LILLY AND CO,6,6960577,2017-11-01,"","",U-963,PROZAC AND OLANZAPINE IN COMBINATION FOR THE ACUTE TREATMENT OF TREATMENT RESISTANT DEPRESSION IN ADULTS,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,2,7659291,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,2,8455524,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,3,7659291,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,3,8455524,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,4,7659291,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,4,8455524,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,5,7659291,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19734,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,5,8455524,2027-04-18,"","",U-1029,METHOD FOR TREATING ACUTE ELEVATIONS OF BLOOD PRESSURE IN HUMAN SUBJECT IN NEED THEREOF,""
19881,BUTOCONAZOLE NITRATE,PERRIGO PHARMA INTL,1,5993856,2017-11-17,"",Y,U-457,METHOD OF TREATING A VAGINAL FUNGAL INFECTION IN A FEMALE HUMAN,""
19901,TRITACE,KING PHARMS,1,7368469,2020-08-30,"","",U-871,"METHOD OF REDUCING RISK OF MYOCARDIAL INFARCTION, STROKE AND DEATH",""
19901,RAMIPRIL,KING PHARMS,1,7368469,2020-08-30,"","",U-871,"METHOD OF REDUCING RISK OF MYOCARDIAL INFARCTION, STROKE AND DEATH",""
19901,RAMIPRIL,KING PHARMS,2,7368469,2020-08-30,"","",U-871,"METHOD OF REDUCING RISK OF MYOCARDIAL INFARCTION, STROKE AND DEATH",""
19901,RAMIPRIL,KING PHARMS,3,7368469,2020-08-30,"","",U-871,"METHOD OF REDUCING RISK OF MYOCARDIAL INFARCTION, STROKE AND DEATH",""
19901,RAMIPRIL,KING PHARMS,4,7368469,2020-08-30,"","",U-871,"METHOD OF REDUCING RISK OF MYOCARDIAL INFARCTION, STROKE AND DEATH",""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,1,6121291,2017-03-17,"","",U-431,POSTTRAUMATIC STRESS DISORDER,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,1,6121291,2017-03-17,"","",U-286,DEPRESSION,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,2,6121291,2017-03-17,"","",U-431,POSTTRAUMATIC STRESS DISORDER,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,2,6121291,2017-03-17,"","",U-286,DEPRESSION,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,3,6121291,2017-03-17,"","",U-431,POSTTRAUMATIC STRESS DISORDER,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,3,6121291,2017-03-17,"","",U-286,DEPRESSION,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,4,6121291,2017-03-17,"","",U-431,POSTTRAUMATIC STRESS DISORDER,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,4,6121291,2017-03-17,"","",U-286,DEPRESSION,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,5,6121291,2017-03-17,"","",U-431,POSTTRAUMATIC STRESS DISORDER,""
20031,PAROXETINE HYDROCHLORIDE,APOTEX TECHNOLOGIES,5,6121291,2017-03-17,"","",U-286,DEPRESSION,""
20180,PROPECIA,MERCK,1,5942519,2018-10-23,"","",U-280,TREATING PRECIPITATED ACUTE URINARY RETENTION WITH FINASTERIDE,""
20180,PROSCAR,MERCK,1,5942519,2018-10-23,"","",U-280,TREATING PRECIPITATED ACUTE URINARY RETENTION WITH FINASTERIDE,""
20180,FINASTERIDE,MERCK,1,5942519,2018-10-23,"","",U-280,TREATING PRECIPITATED ACUTE URINARY RETENTION WITH FINASTERIDE,""
20182,LEVOCARNITINE,SIGMA TAU,1,6335369,2021-01-18,"","",U-433,USE OF LEVOCARITINE IN PREVENTION AND TREATMENT OF CARNITINE DEFICIENCY IN PATIENTS WITH END STAGE RENAL DISEASE WHO ARE UNDERGOING DIALYSIS,""
20182,LEVOCARNITINE,SIGMA TAU,1,6429230,2021-01-18,"","",U-433,USE OF LEVOCARITINE IN PREVENTION AND TREATMENT OF CARNITINE DEFICIENCY IN PATIENTS WITH END STAGE RENAL DISEASE WHO ARE UNDERGOING DIALYSIS,""
20182,LEVOCARNITINE,SIGMA TAU,1,6696493,2021-01-18,"","",U-433,USE OF LEVOCARITINE IN PREVENTION AND TREATMENT OF CARNITINE DEFICIENCY IN PATIENTS WITH END STAGE RENAL DISEASE WHO ARE UNDERGOING DIALYSIS,""
20221,AMIFOSTINE,CLINIGEN HLTHCARE,1,5994409,2017-12-08,"","",U-305,METHODS FOR USING THE DRUG PRODUCT,""
20221,AMIFOSTINE,CLINIGEN HLTHCARE,2,5994409,2017-12-08,"","",U-305,METHODS FOR USING THE DRUG PRODUCT,""
20239,GRANISETRON HYDROCHLORIDE,ROCHE,1,5952340,2016-09-14,"","",U-519,POST OPERATIVE NAUSEA AND VOMITING,""
20239,GRANISETRON HYDROCHLORIDE,ROCHE,2,5952340,2016-09-14,"","",U-519,POST OPERATIVE NAUSEA AND VOMITING,""
20239,GRANISETRON HYDROCHLORIDE,ROCHE,4,5952340,2016-09-14,"","",U-519,POST OPERATIVE NAUSEA AND VOMITING,""
20281,TRAMADOL HYDROCHLORIDE,JANSSEN PHARMS,1,6339105,2019-10-12,"","",U-435,A TITRATION DOSING REGIMEN FOR THE TREATMENT OF PAIN USING AN INITIAL DOSE OF ABOUT 25MG,""
20281,TRAMADOL HYDROCHLORIDE,JANSSEN PHARMS,2,6339105,2019-10-12,"","",U-435,A TITRATION DOSING REGIMEN FOR THE TREATMENT OF PAIN USING AN INITIAL DOSE OF ABOUT 25MG,""
20364,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,NOVARTIS,2,6162802,2017-12-19,"","",U-367,TREATMENT OF CARDIOVASCULAR DISORDERS,""
20364,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,NOVARTIS,3,6162802,2017-12-19,"","",U-367,TREATMENT OF CARDIOVASCULAR DISORDERS,""
20364,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,NOVARTIS,4,6162802,2017-12-19,"","",U-367,TREATMENT OF CARDIOVASCULAR DISORDERS,""
20364,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,NOVARTIS,5,6162802,2017-12-19,"","",U-367,TREATMENT OF CARDIOVASCULAR DISORDERS,""
20364,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,NOVARTIS,6,6162802,2017-12-19,Y,Y,U-185,METHOD OF TREATING HYPERTENSION,""
20364,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,NOVARTIS,7,6162802,2017-12-19,Y,Y,U-185,METHOD OF TREATING HYPERTENSION,""
20381,NIACIN,ABBVIE,1,6080428,2017-05-27,"","",U-331,METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,2,6080428,2017-05-27,"","",U-1141,REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,2,6080428,2017-05-27,"","",U-1140,REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,2,6080428,2017-05-27,"","",U-1139,REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,2,6080428,2017-05-27,"","",U-1138,TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,2,6080428,2017-05-27,"","",U-331,METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,2,6469035,2018-03-15,"","",U-1145,"REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN",""
20381,NIACIN,ABBVIE,2,6469035,2018-03-15,"","",U-1144,"REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITIN AGENT SUCH AS ASPIRIN",""
20381,NIACIN,ABBVIE,2,6469035,2018-03-15,"","",U-1143,"REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR A T NIGHT, WITH PRETREATMENT WITH A FLUSH INHIB",""
20381,NIACIN,ABBVIE,2,6469035,2018-03-15,"","",U-1142,"TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS",""
20381,NIACIN,ABBVIE,2,6469035,2018-03-15,"","",U-768,A METHOD OF REDUCING THE CAPACITY OF EXTENDED RELEASE NICOTINIC ACID TO PROVOKE A FLUSHING REACTION BY PRETREATING AN INDIVIDUAL WITH A FLUSH INHIBITI,""
20381,NIACIN,ABBVIE,3,6080428,2017-05-27,"","",U-1140,REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,3,6080428,2017-05-27,"","",U-1139,REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,3,6080428,2017-05-27,"","",U-1138,TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,3,6080428,2017-05-27,"","",U-1141,REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,3,6080428,2017-05-27,"","",U-331,METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,3,6469035,2018-03-15,"","",U-1144,"REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITIN AGENT SUCH AS ASPIRIN",""
20381,NIACIN,ABBVIE,3,6469035,2018-03-15,"","",U-1145,"REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN",""
20381,NIACIN,ABBVIE,3,6469035,2018-03-15,"","",U-1143,"REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR A T NIGHT, WITH PRETREATMENT WITH A FLUSH INHIB",""
20381,NIACIN,ABBVIE,3,6469035,2018-03-15,"","",U-1142,"TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS",""
20381,NIACIN,ABBVIE,3,6469035,2018-03-15,"","",U-768,A METHOD OF REDUCING THE CAPACITY OF EXTENDED RELEASE NICOTINIC ACID TO PROVOKE A FLUSHING REACTION BY PRETREATING AN INDIVIDUAL WITH A FLUSH INHIBITI,""
20381,NIACIN,ABBVIE,4,6080428,2017-05-27,"","",U-1140,REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,4,6080428,2017-05-27,"","",U-1141,REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,4,6080428,2017-05-27,"","",U-1139,REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,4,6080428,2017-05-27,"","",U-1138,TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,4,6080428,2017-05-27,"","",U-331,METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,""
20381,NIACIN,ABBVIE,4,6469035,2018-03-15,"","",U-1143,"REDUCTION IN RISK OF RECURRENT NONFATAL MYOCARDIAL INFARCTION BY DOSING ONCE PER DAY IN THE EVENING OR A T NIGHT, WITH PRETREATMENT WITH A FLUSH INHIB",""
20381,NIACIN,ABBVIE,4,6469035,2018-03-15,"","",U-1144,"REDUCTION IN ELEVATED TC AND LDL-C BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITIN AGENT SUCH AS ASPIRIN",""
20381,NIACIN,ABBVIE,4,6469035,2018-03-15,"","",U-1145,"REDUCTION IN TG BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS ASPIRIN",""
20381,NIACIN,ABBVIE,4,6469035,2018-03-15,"","",U-1142,"TREATMENT OF PRIMARY AND MIXED DYSLIPIDEMIA BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT, WITH PRETREATMENT WITH A FLUSH INHIBITING AGENT SUCH AS",""
